iter	Passed	Remaining
0	133	133086
1	136	68349
2	140	46748
3	147	36690
4	153	30477
5	158	26326
6	166	23555
7	170	21155
8	179	19735
9	183	18136
10	186	16773
11	190	15705
12	196	14890
13	200	14108
14	204	13427
15	209	12868
16	215	12437
17	218	11942
18	222	11494
19	228	11176
20	231	10813
21	235	10486
22	239	10186
23	248	10098
24	251	9822
25	255	9569
26	261	9412
27	265	9204
28	269	9017
29	275	8923
30	280	8760
31	283	8590
32	289	8494
33	296	8418
34	305	8428
35	310	8305
36	319	8320
37	327	8292
38	336	8288
39	344	8278
40	351	8210
41	357	8159
42	364	8113
43	378	8226
44	384	8151
45	390	8095
46	403	8181
47	410	8148
48	416	8075
49	437	8320
50	443	8246
51	447	8158
52	452	8077
53	457	8015
54	461	7933
55	465	7851
56	470	7781
57	474	7712
58	478	7630
59	482	7558
60	487	7501
61	492	7444
62	495	7375
63	499	7310
64	505	7271
65	509	7206
66	512	7138
67	516	7075
68	521	7035
69	525	6978
70	528	6919
71	532	6868
72	538	6836
73	542	6784
74	546	6737
75	595	7241
76	640	7679
77	645	7627
78	650	7589
79	656	7547
80	662	7518
81	677	7580
82	688	7604
83	692	7550
84	697	7505
85	703	7481
86	707	7429
87	711	7373
88	717	7339
89	721	7294
90	725	7243
91	729	7195
92	734	7160
93	738	7113
94	741	7067
95	745	7021
96	750	6983
97	754	6945
98	758	6900
99	762	6858
100	768	6839
101	772	6798
102	776	6759
103	780	6727
104	785	6695
105	789	6654
106	792	6614
107	800	6610
108	806	6590
109	810	6560
110	815	6534
111	819	6498
112	823	6460
113	826	6423
114	831	6396
115	834	6361
116	838	6327
117	842	6297
118	847	6273
119	851	6246
120	855	6214
121	860	6193
122	865	6172
123	869	6141
124	872	6110
125	878	6093
126	883	6070
127	886	6042
128	891	6016
129	896	6002
130	900	5975
131	904	5947
132	908	5925
133	914	5912
134	918	5883
135	921	5855
136	927	5840
137	931	5820
138	935	5794
139	939	5773
140	946	5769
141	950	5745
142	954	5723
143	963	5725
144	968	5709
145	972	5687
146	978	5678
147	982	5655
148	987	5639
149	994	5632
150	998	5614
151	1002	5591
152	1009	5590
153	1014	5572
154	1017	5548
155	1022	5531
156	1027	5515
157	1030	5493
158	1034	5473
159	1039	5459
160	1044	5443
161	1048	5423
162	1052	5404
163	1059	5398
164	1062	5377
165	1066	5356
166	1070	5340
167	1075	5327
168	1079	5310
169	1083	5291
170	1089	5283
171	1094	5268
172	1098	5251
173	1107	5259
174	1111	5242
175	1115	5223
176	1121	5215
177	1125	5199
178	1129	5180
179	1132	5161
180	1138	5152
181	1143	5138
182	1147	5122
183	1152	5111
184	1157	5097
185	1160	5080
186	1164	5064
187	1170	5053
188	1173	5036
189	1177	5018
190	1180	5001
191	1186	4991
192	1191	4980
193	1195	4964
194	1203	4967
195	1207	4953
196	1211	4938
197	1215	4923
198	1220	4914
199	1224	4897
200	1228	4883
201	1234	4875
202	1238	4861
203	1242	4847
204	1246	4833
205	1251	4824
206	1255	4809
207	1259	4794
208	1263	4780
209	1268	4772
210	1272	4758
211	1276	4744
212	1281	4733
213	1285	4722
214	1289	4708
215	1293	4695
216	1298	4685
217	1303	4675
218	1307	4661
219	1312	4651
220	1317	4643
221	1322	4634
222	1327	4626
223	1333	4619
224	1341	4619
225	1348	4618
226	1353	4608
227	1357	4595
228	1361	4584
229	1365	4572
230	1369	4558
231	1372	4545
232	1378	4537
233	1383	4529
234	1387	4515
235	1391	4504
236	1398	4500
237	1401	4487
238	1405	4475
239	1411	4471
240	1417	4463
241	1421	4451
242	1425	4441
243	1431	4434
244	1434	4420
245	1438	4409
246	1445	4406
247	1450	4397
248	1453	4384
249	1458	4376
250	1463	4367
251	1467	4355
252	1470	4342
253	1477	4339
254	1481	4328
255	1485	4317
256	1489	4305
257	1495	4301
258	1499	4290
259	1503	4278
260	1509	4274
261	1514	4267
262	1519	4259
263	1527	4257
264	1531	4247
265	1535	4236
266	1540	4229
267	1545	4221
268	1549	4210
269	1553	4200
270	1558	4193
